"","image","specie","group","id","length","area","width","depth","tip_count"
"150","dicot-sim-111-9-20.rsml.jpg","dicot","111","9",124.90873,610.8531,3.6237333,19.625732,42
"151","dicot-sim-112-1-20.rsml.jpg","dicot","112","1",199.60167,941.1293,2.8871334,19.693466,52
"152","dicot-sim-112-10-20.rsml.jpg","dicot","112","10",157.71707,754.0244,2.921,19.676533,45
"153","dicot-sim-112-2-20.rsml.jpg","dicot","112","2",184.89507,927.1,2.7262666,19.7104,47
"154","dicot-sim-112-3-20.rsml.jpg","dicot","112","3",161.1122,734.3563,2.8278666,19.6596,49
"155","dicot-sim-112-4-20.rsml.jpg","dicot","112","4",177.86774,867.41,2.7178,19.693466,58
"156","dicot-sim-112-5-20.rsml.jpg","dicot","112","5",190.82173,921.49506,2.9802666,19.693466,49
"157","dicot-sim-112-6-20.rsml.jpg","dicot","112","6",188.3918,891.6416,2.9548666,19.693466,46
"158","dicot-sim-112-7-20.rsml.jpg","dicot","112","7",171.78867,811.86017,2.8617332,19.685,50
"159","dicot-sim-112-8-20.rsml.jpg","dicot","112","8",186.67307,865.378,2.8871334,19.685,46
"160","dicot-sim-112-9-20.rsml.jpg","dicot","112","9",181.03427,903.351,2.8278666,19.693466,45
"161","dicot-sim-113-1-14.rsml.jpg","dicot","113","1",243.4082,2235.945,6.1298666,17.441334,77
"162","dicot-sim-113-10-14.rsml.jpg","dicot","113","10",233.68846,2185.2043,6.3161335,17.441334,76
"163","dicot-sim-113-2-14.rsml.jpg","dicot","113","2",234.04407,2159,6.4685335,17.441334,86
"164","dicot-sim-113-3-14.rsml.jpg","dicot","113","3",241.15607,2103.1284,7.0273333,17.441334,75
"165","dicot-sim-113-4-14.rsml.jpg","dicot","113","4",241.44392,2188.2607,6.612467,17.441334,78
"166","dicot-sim-113-5-14.rsml.jpg","dicot","113","5",271.33972,2357.7126,6.764867,17.441334,76
"167","dicot-sim-113-6-14.rsml.jpg","dicot","113","6",213.19913,1950.7961,6.612467,17.441334,75
"168","dicot-sim-113-7-14.rsml.jpg","dicot","113","7",245.38094,2166.3745,6.697133,17.441334,84
"169","dicot-sim-113-8-14.rsml.jpg","dicot","113","8",242.062,2166.7131,6.6802,17.441334,76
"170","dicot-sim-113-9-14.rsml.jpg","dicot","113","9",233.53607,2155.156,6.2399335,17.441334,81
"171","dicot-sim-114-1-20.rsml.jpg","dicot","114","1",41.156467,202.31946,2.7178,16.5608,26
"172","dicot-sim-114-10-20.rsml.jpg","dicot","114","10",36.948532,197.29874,2.8109334,16.569267,24
"173","dicot-sim-114-2-20.rsml.jpg","dicot","114","2",49.284466,235.7882,3.0734,16.569267,32
"174","dicot-sim-114-3-20.rsml.jpg","dicot","114","3",44.33993,217.8558,2.7262666,16.5608,28
"175","dicot-sim-114-4-20.rsml.jpg","dicot","114","4",48.852665,239.69133,2.8278666,16.569267,29
"176","dicot-sim-114-5-20.rsml.jpg","dicot","114","5",48.759533,218.80406,3.3951333,16.569267,32
"177","dicot-sim-114-6-20.rsml.jpg","dicot","114","6",45.974,214.82474,3.7591999,16.5608,28
