"","image","specie","group","id","tree_size","tree_magnitude","tree_altitude","tree_index"
"187","dicot-sim-115-6-20.rsml","dicot","115","6",75,38,38,1
"188","dicot-sim-115-7-20.rsml","dicot","115","7",67,34,34,1
"189","dicot-sim-115-8-20.rsml","dicot","115","8",61,31,31,1
"190","dicot-sim-115-9-20.rsml","dicot","115","9",65,33,33,1
"191","dicot-sim-116-1-20.rsml","dicot","116","1",5,3,3,1
"192","dicot-sim-116-10-20.rsml","dicot","116","10",9,5,5,1
"193","dicot-sim-116-2-20.rsml","dicot","116","2",7,4,4,1
"194","dicot-sim-116-3-20.rsml","dicot","116","3",5,3,3,1
"195","dicot-sim-116-4-20.rsml","dicot","116","4",13,7,7,1
"196","dicot-sim-116-5-20.rsml","dicot","116","5",11,6,6,1
"197","dicot-sim-116-6-20.rsml","dicot","116","6",19,10,10,1
"198","dicot-sim-116-7-20.rsml","dicot","116","7",7,4,4,1
"199","dicot-sim-116-8-20.rsml","dicot","116","8",15,8,8,1
"200","dicot-sim-116-9-20.rsml","dicot","116","9",15,8,8,1
"201","dicot-sim-117-1-20.rsml","dicot","117","1",143,72,72,1
"202","dicot-sim-117-10-20.rsml","dicot","117","10",129,65,65,1
"203","dicot-sim-117-2-20.rsml","dicot","117","2",141,71,71,1
"204","dicot-sim-117-3-20.rsml","dicot","117","3",133,67,67,1
"205","dicot-sim-117-4-20.rsml","dicot","117","4",141,71,71,1
"206","dicot-sim-117-5-20.rsml","dicot","117","5",133,67,67,1
"207","dicot-sim-117-6-20.rsml","dicot","117","6",131,66,66,1
"208","dicot-sim-117-7-20.rsml","dicot","117","7",131,66,66,1
"209","dicot-sim-117-8-20.rsml","dicot","117","8",137,69,69,1
"210","dicot-sim-117-9-20.rsml","dicot","117","9",121,61,61,1
"211","dicot-sim-118-1-20.rsml","dicot","118","1",97,49,49,1
"212","dicot-sim-118-10-20.rsml","dicot","118","10",89,45,45,1
"213","dicot-sim-118-2-20.rsml","dicot","118","2",101,51,51,1
"214","dicot-sim-118-3-20.rsml","dicot","118","3",107,54,54,1
"215","dicot-sim-118-4-20.rsml","dicot","118","4",99,50,50,1
"216","dicot-sim-118-5-20.rsml","dicot","118","5",97,49,49,1
"217","dicot-sim-118-6-20.rsml","dicot","118","6",97,49,49,1
