image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
monocot-sim-22-7-25.rsml,11651.779,100.49934,279.90802,22.913452,14,2897.0,207.62979,0.22899915,0.19500896,443,8510.0,19.74032,0.12511344,46.077282,900,457.0,48.0,0.105032824,0.6603053
monocot-sim-22-8-25.rsml,11602.33,96.85867,279.90802,23.023312,14,2885.0,206.63905,0.22899915,0.19471194,430,8474.0,20.25437,0.124290705,48.70969,874,444.0,45.0,0.10135135,0.6877166
monocot-sim-22-9-25.rsml,11213.878,106.849335,279.90802,22.910868,14,2901.0,207.8796,0.22899915,0.19222264,425,8076.0,19.5378,0.124301516,46.325523,864,439.0,42.0,0.09567198,0.6686675
monocot-sim-220-1-8.rsml,28117.664,65.786,94.91134,21.432116,8,460.0,58.057194,0.33800003,1.2069107,2154,26420.0,12.838068,0.18421653,51.122906,4316,2162.0,965.0,0.44634598,0.7408029
monocot-sim-220-10-8.rsml,28413.828,60.706,94.91134,21.378092,8,459.0,57.995598,0.33800003,1.1980126,2237,26661.0,12.494352,0.18371117,51.407692,4482,2245.0,1024.0,0.45612472,0.7407488
monocot-sim-220-2-8.rsml,26819.94,58.50467,94.996,21.444134,8,457.0,57.890057,0.33800003,1.1641922,2109,25171.0,12.497308,0.18216406,48.968365,4226,2117.0,939.0,0.4435522,0.7387741
monocot-sim-220-3-8.rsml,28875.08,60.113335,94.996,21.277311,8,458.0,57.789204,0.33800003,1.2355433,2186,27171.0,12.997609,0.18727006,53.752575,4380,2194.0,971.0,0.44257066,0.744551
monocot-sim-220-4-8.rsml,28058.016,63.161335,94.91134,21.197819,8,452.0,57.175144,0.33800003,1.2003144,2144,26355.0,12.873423,0.18506357,51.144897,4296,2152.0,950.0,0.44144982,0.73923796
monocot-sim-220-5-8.rsml,28461.545,58.50467,94.996,21.275545,8,457.0,57.8948,0.33800003,1.2315784,2218,26725.0,12.623263,0.18494593,50.435684,4444,2226.0,977.0,0.43890387,0.74025977
monocot-sim-220-6-8.rsml,27526.197,64.008,94.996,21.263193,8,458.0,57.83455,0.33800003,1.2855507,2145,25850.0,12.617029,0.18404292,50.797585,4298,2153.0,977.0,0.45378542,0.7396269
