image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-368-10-25.rsml,377.15213,15.409334,264.922,22.315044,1,269.0,269.99423,0.30294314,0.10919641,15,98.0,7.143861,0.08495034,43.263504,31,16.0,16.0,1.0,0.21568628
dicot-sim-368-2-25.rsml,427.30875,12.615334,264.922,22.209866,1,269.0,269.99268,0.30388698,0.19456796,21,149.0,7.4912415,0.08964882,45.805645,43,22.0,22.0,1.0,0.2837838
dicot-sim-368-3-25.rsml,450.43558,22.436666,264.922,21.532637,1,269.0,269.99634,0.30084735,0.15734468,22,169.0,8.201786,0.08646097,50.53105,45,23.0,23.0,1.0,0.32894737
dicot-sim-368-4-25.rsml,431.19363,12.446,264.922,21.909948,1,269.0,269.97894,0.2973672,0.16306902,20,150.0,8.060735,0.08468938,54.49598,41,21.0,21.0,1.0,0.3939394
dicot-sim-368-5-25.rsml,444.2659,17.526001,264.922,23.575794,1,269.0,269.97668,0.2967283,0.1956826,24,160.0,7.2620506,0.085777104,46.497894,49,25.0,25.0,1.0,0.35365853
dicot-sim-368-6-25.rsml,457.3583,14.478001,264.922,22.248669,1,269.0,269.9778,0.29688242,0.15287746,21,179.0,8.922876,0.08850174,52.618984,43,22.0,22.0,1.0,0.27631578
dicot-sim-368-7-25.rsml,380.18835,17.356667,264.922,22.189562,1,269.0,269.99966,0.3050214,0.111907825,14,102.0,7.8706207,0.086561516,44.42773,29,15.0,15.0,1.0,0.17021276
dicot-sim-368-8-25.rsml,362.90466,13.292667,264.922,21.183294,1,269.0,269.98047,0.29979637,0.11521111,13,87.0,7.148015,0.08827637,38.959595,27,14.0,14.0,1.0,0.10638298
dicot-sim-368-9-25.rsml,421.1473,20.658667,264.922,21.427422,1,269.0,269.97665,0.29388538,0.14676209,18,141.0,8.398368,0.08803367,50.408558,37,19.0,19.0,1.0,0.25
dicot-sim-369-1-25.rsml,437.7958,17.441334,154.94,23.252281,1,159.0,159.99648,0.51377374,0.13940941,16,269.0,17.362455,0.23234741,20.17818,33,17.0,17.0,1.0,0.10526316
dicot-sim-369-10-25.rsml,459.66785,18.796001,154.94,22.707333,1,159.0,159.99962,0.49000904,0.15142484,18,290.0,16.648232,0.23371275,19.340359,37,19.0,19.0,1.0,0.10843374
dicot-sim-369-2-25.rsml,343.87866,13.123334,154.94,22.92625,1,159.0,159.99939,0.4599317,0.14637725,15,175.0,12.258616,0.22297707,23.58852,31,16.0,16.0,1.0,0.07272727
dicot-sim-369-3-25.rsml,402.85428,21.505335,154.94,22.42082,1,159.0,159.99898,0.47351283,0.12198159,15,234.0,16.190355,0.2245705,22.591442,31,16.0,16.0,1.0,0.104477614
dicot-sim-369-4-25.rsml,268.27753,15.409334,154.94,24.157946,1,159.0,159.99696,0.4189504,0.07762432,7,105.0,15.468656,0.22405127,24.940052,15,8.0,8.0,1.0,0.033333335
