"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"182","dicot-sim-115-10-20.rsml","dicot","115","10",0.04443447,0.0137717845
"183","dicot-sim-115-2-20.rsml","dicot","115","2",0.04445271,0.014131947
"184","dicot-sim-115-3-20.rsml","dicot","115","3",0.043464523,0.014417787
"185","dicot-sim-115-4-20.rsml","dicot","115","4",0.04469885,0.014004474
"186","dicot-sim-115-5-20.rsml","dicot","115","5",0.043948498,0.013437055
"187","dicot-sim-115-6-20.rsml","dicot","115","6",0.046079356,0.01382686
"188","dicot-sim-115-7-20.rsml","dicot","115","7",0.045708697,0.013783429
"189","dicot-sim-115-8-20.rsml","dicot","115","8",0.043710716,0.013732613
"190","dicot-sim-115-9-20.rsml","dicot","115","9",0.044318892,0.01440416
"191","dicot-sim-116-1-20.rsml","dicot","116","1",0.032728683,0.016322212
"192","dicot-sim-116-10-20.rsml","dicot","116","10",0.032877658,0.016268358
"193","dicot-sim-116-2-20.rsml","dicot","116","2",0.030902263,0.015238319
"194","dicot-sim-116-3-20.rsml","dicot","116","3",0.029827371,0.015641917
"195","dicot-sim-116-4-20.rsml","dicot","116","4",0.030580744,0.014754216
"196","dicot-sim-116-5-20.rsml","dicot","116","5",0.030599754,0.01586619
"197","dicot-sim-116-6-20.rsml","dicot","116","6",0.031282283,0.015704919
"198","dicot-sim-116-7-20.rsml","dicot","116","7",0.028150529,0.015364198
"199","dicot-sim-116-8-20.rsml","dicot","116","8",0.035167474,0.015477771
"200","dicot-sim-116-9-20.rsml","dicot","116","9",0.033537738,0.015397165
"201","dicot-sim-117-1-20.rsml","dicot","117","1",0.13621007,0.027292747
"202","dicot-sim-117-10-20.rsml","dicot","117","10",0.1352919,0.02750327
"203","dicot-sim-117-2-20.rsml","dicot","117","2",0.13456897,0.026809987
"204","dicot-sim-117-3-20.rsml","dicot","117","3",0.12727594,0.026792334
"205","dicot-sim-117-4-20.rsml","dicot","117","4",0.13393109,0.027446056
"206","dicot-sim-117-5-20.rsml","dicot","117","5",0.14332628,0.027806738
"207","dicot-sim-117-6-20.rsml","dicot","117","6",0.12809606,0.026766295
"208","dicot-sim-117-7-20.rsml","dicot","117","7",0.11919843,0.026199415
"209","dicot-sim-117-8-20.rsml","dicot","117","8",0.13935964,0.027826473
"210","dicot-sim-117-9-20.rsml","dicot","117","9",0.12457763,0.02652114
"211","dicot-sim-118-1-20.rsml","dicot","118","1",0.048011683,0.016465498
"212","dicot-sim-118-10-20.rsml","dicot","118","10",0.047330398,0.016515598
"213","dicot-sim-118-2-20.rsml","dicot","118","2",0.04694866,0.016516637
"214","dicot-sim-118-3-20.rsml","dicot","118","3",0.04897428,0.016345907
"215","dicot-sim-118-4-20.rsml","dicot","118","4",0.048269898,0.016379753
"216","dicot-sim-118-5-20.rsml","dicot","118","5",0.048785117,0.016548578
"217","dicot-sim-118-6-20.rsml","dicot","118","6",0.049452398,0.016581502
"218","dicot-sim-118-7-20.rsml","dicot","118","7",0.04745009,0.016574979
"219","dicot-sim-118-8-20.rsml","dicot","118","8",0.047525562,0.016557677
"220","dicot-sim-118-9-20.rsml","dicot","118","9",0.046824206,0.016448053
"221","dicot-sim-119-1-20.rsml","dicot","119","1",0.097680196,0.021072302
"222","dicot-sim-119-10-20.rsml","dicot","119","10",0.09665173,0.021359943
"223","dicot-sim-119-2-20.rsml","dicot","119","2",0.09754385,0.0212377
"224","dicot-sim-119-3-20.rsml","dicot","119","3",0.09833335,0.021271475
"225","dicot-sim-119-4-20.rsml","dicot","119","4",0.10100465,0.021020032
"226","dicot-sim-119-5-20.rsml","dicot","119","5",0.098446205,0.0208908
"227","dicot-sim-119-6-20.rsml","dicot","119","6",0.09908132,0.02108692
"228","dicot-sim-119-7-20.rsml","dicot","119","7",0.09870176,0.021497818
"229","dicot-sim-119-8-20.rsml","dicot","119","8",0.0987637,0.02129862
"230","dicot-sim-119-9-20.rsml","dicot","119","9",0.09500412,0.021108126
"231","dicot-sim-12-1-20.rsml","dicot","12","1",0.051026616,0.019457558
"232","dicot-sim-12-10-20.rsml","dicot","12","10",0.05053352,0.020027503
"233","dicot-sim-12-2-20.rsml","dicot","12","2",0.04986042,0.019248428
"234","dicot-sim-12-3-20.rsml","dicot","12","3",0.049518228,0.019957704
"235","dicot-sim-12-4-20.rsml","dicot","12","4",0.048678186,0.019388095
"236","dicot-sim-12-5-20.rsml","dicot","12","5",0.047160853,0.019769592
"237","dicot-sim-12-6-20.rsml","dicot","12","6",0.046561107,0.019370662
"238","dicot-sim-12-7-20.rsml","dicot","12","7",0.047146667,0.019265436
"239","dicot-sim-12-8-20.rsml","dicot","12","8",0.04804233,0.019491583
"240","dicot-sim-12-9-20.rsml","dicot","12","9",0.050014783,0.019530598
"241","dicot-sim-120-1-17.rsml","dicot","120","1",0.1878652,0.03060117
"242","dicot-sim-120-10-17.rsml","dicot","120","10",0.18735659,0.03186381
"243","dicot-sim-120-2-17.rsml","dicot","120","2",0.18608014,0.032144748
"244","dicot-sim-120-3-17.rsml","dicot","120","3",0.19892813,0.031290654
"245","dicot-sim-120-4-17.rsml","dicot","120","4",0.19274998,0.03191925
"246","dicot-sim-120-5-17.rsml","dicot","120","5",0.19032793,0.031446062
"247","dicot-sim-120-6-17.rsml","dicot","120","6",0.19327103,0.030981509
"248","dicot-sim-120-7-17.rsml","dicot","120","7",0.19158049,0.03205308
"249","dicot-sim-120-8-17.rsml","dicot","120","8",0.18504053,0.030539187
"250","dicot-sim-120-9-17.rsml","dicot","120","9",0.19491148,0.03129101
"251","dicot-sim-121-1-20.rsml","dicot","121","1",0.057091262,0.023816042
"252","dicot-sim-121-10-20.rsml","dicot","121","10",0.060715027,0.023931164
"253","dicot-sim-121-2-20.rsml","dicot","121","2",0.059511155,0.023854028
"254","dicot-sim-121-3-20.rsml","dicot","121","3",0.05939833,0.02361918
"255","dicot-sim-121-4-20.rsml","dicot","121","4",0.05734471,0.023739133
"256","dicot-sim-121-5-20.rsml","dicot","121","5",0.058330268,0.023186283
"257","dicot-sim-121-6-20.rsml","dicot","121","6",0.05937784,0.024701033
"258","dicot-sim-121-7-20.rsml","dicot","121","7",0.05840697,0.023427147
"259","dicot-sim-121-8-20.rsml","dicot","121","8",0.058563426,0.023135023
"260","dicot-sim-121-9-20.rsml","dicot","121","9",0.058072936,0.024093144
"261","dicot-sim-122-1-20.rsml","dicot","122","1",0.07410861,0.018385833
