"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_y","tip_count","cross_vert_mean","cross_vert_max","convexhull","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","exploration"
"48","dicot-sim-102-7-20.rsml.jpg",0.033866666,0.014796275,0.008466667,17.5768,48.480133,1.9812,8.542867,0.23191279,0.42893338,0.41275966,12,8.754386,320,21140,"dicot","102","7",-134.293976972106,-111.685992285419,-125.304883230776,0.956164422905615,5.4,0.00229328916745506
"49","dicot-sim-102-8-20.rsml.jpg",0.033866666,0.016462963,0.008466667,14.9352,48.624065,1.5409334,8.542867,0.1803766,0.67207044,0.40894625,9,10.814815,552,16915,"dicot","102","8",-160.886556206341,-109.590718759481,-75.4811029986897,0.949101740121555,3.875,0.00287461217853976
"50","dicot-sim-102-9-20.rsml.jpg",0.033866666,0.017322054,0.0254,13.462,46.465065,1.7610667,8.542867,0.20614469,0.4474781,0.40854555,6,10.177778,666,12096,"dicot","102","9",-163.443588675958,-157.20722008245,-0.960596156072272,0.950292264286466,2.825,0.00384135788690476
"51","dicot-sim-103-1-20.rsml.jpg",0.0762,0.016722372,0.008466667,94.12393,282.0416,3.0734,16.577734,0.18539326,0.40443206,0.39058608,91,30.188572,710,19691,"dicot","103","1",6.48018774851739,2.37699943191922,59.4259280315082,0.596625803461155,7.5,0.0143233761616982
"52","dicot-sim-103-10-20.rsml.jpg",0.0762,0.01628484,0.008466667,104.79193,300.84607,3.4544,16.5862,0.20826952,0.5029124,0.39076105,104,31.207071,754,23055,"dicot","103","10",-2.87531376318824,0.72396588909972,22.9018308866791,0.663366310482383,9.648149,0.0130490596399913
"53","dicot-sim-103-2-20.rsml.jpg",0.0762,0.016348863,0.008466667,110.01587,319.81985,3.3358667,16.577734,0.20122574,0.41054976,0.3893968,107,34.19689,887,17000,"dicot","103","2",69.5414990350089,-7.03953038569652,-29.1851838819857,0.683783783136231,11.962963,0.0188129323529412
"54","dicot-sim-103-3-20.rsml.jpg",0.0762,0.016651258,0.008466667,98.0948,286.39346,3.4798,16.577734,0.20990807,0.5342118,0.3978147,105,28.545454,781,40572,"dicot","103","3",-60.0050554275254,-28.993931072868,29.3446887472309,0.706049143169871,10.074074,0.00705889431134773
"55","dicot-sim-103-4-20.rsml.jpg",0.0762,0.016763238,0.008466667,96.088196,287.13007,3.4205334,16.5862,0.20622766,0.50253385,0.38989177,103,28.994898,731,28460,"dicot","103","4",-67.6229048163596,17.5684294191582,-70.2403006403105,0.641125090189764,8.703704,0.0100888991567112
"56","dicot-sim-103-5-20.rsml.jpg",0.0762,0.016956856,0.008466667,91.423065,273.77814,3.0141332,16.577734,0.18181819,0.4518237,0.38812026,104,31.02299,846,18214,"dicot","103","5",-57.5155345276116,-47.2352588452674,46.2348363607288,0.688132495671096,7.7777777,0.0150311924892939
"57","dicot-sim-103-6-20.rsml.jpg",0.0762,0.016360367,0.008466667,110.47307,314.3504,3.2850666,16.577734,0.1981614,0.5359893,0.39377922,108,34.82162,594,39369,"dicot","103","6",-30.6148392256441,-14.7646007890862,46.0090447299454,0.662608737430022,12.981482,0.00798471894129899
