"","image","tot_root_length","width","depth","direction","n_primary","tot_prim_length","mean_prim_length","mean_prim_diameter","mean_lat_density","n_laterals","tot_lat_length","mean_lat_length","mean_lat_diameter","mean_lat_angle","tree_size","tree_magnitude","tree_altitude","tree_index","specie","group","id"
"100","dicot-sim-107-9-20.rsml",48.02347,3.937,19.490267,2.1026018,1,19,19.998178,0.039049838,2.0511928,23,16,1.2184911,0.009112431,69.13894,47,24,24,1,"dicot","107","9"
"101","dicot-sim-108-1-20.rsml",64.00659,3.7846,21.496866,2.3717883,1,21,21.999445,0.04800054,2.0190184,35,23,1.2002043,0.013342766,52.73791,71,36,36,1,"dicot","108","1"
"102","dicot-sim-108-10-20.rsml",62.51753,2.8194,21.496866,2.3290777,1,21,21.99987,0.048078116,2.7937715,38,17,1.066254,0.012651117,43.93518,77,39,39,1,"dicot","108","10"
"103","dicot-sim-108-2-20.rsml",52.467133,3.0226,21.496866,2.2455468,1,21,21.999384,0.04842665,2.3860717,28,14,1.088134,0.014049909,53.29251,57,29,29,1,"dicot","108","2"
"104","dicot-sim-108-3-20.rsml",58.405342,2.8617332,21.496866,2.3268795,1,21,21.999664,0.048776217,2.6176076,37,16,0.9839373,0.013059261,44.605694,75,38,38,1,"dicot","108","3"
"105","dicot-sim-108-4-20.rsml",55.59252,2.5992665,21.496866,2.3143854,1,21,21.998762,0.049239814,2.8964577,33,16,1.0179927,0.013580027,51.570312,67,34,34,1,"dicot","108","4"
"106","dicot-sim-108-5-20.rsml",53.04743,2.5061333,21.496866,2.2445898,1,21,21.99928,0.049244255,2.416372,29,14,1.0706259,0.014048512,53.359035,59,30,30,1,"dicot","108","5"
"107","dicot-sim-108-6-20.rsml",53.88977,2.2606,21.496866,2.3328924,1,21,21.998938,0.04898527,2.878372,32,13,0.99658865,0.013133468,46.111748,65,33,33,1,"dicot","108","6"
"108","dicot-sim-108-7-20.rsml",65.197556,3.6152666,21.496866,2.195319,1,21,21.999985,0.04946723,3.2554834,37,22,1.1675018,0.013465373,49.625854,75,38,38,1,"dicot","108","7"
"109","dicot-sim-108-8-20.rsml",47.331577,2.6077332,21.496866,2.2895737,1,21,21.998734,0.046837855,1.8747879,26,13,0.97434014,0.013942143,46.410835,53,27,27,1,"dicot","108","8"
"110","dicot-sim-108-9-20.rsml",62.398582,2.8702,21.496866,2.3226297,1,22,22,0.049348474,3.0464942,39,20,1.0358613,0.012652244,46.895035,79,40,40,1,"dicot","108","9"
"111","dicot-sim-109-1-20.rsml",184.80629,3.2427332,16.493067,2.3369527,1,16,16.99965,0.12857056,9.789121,130,89,1.2908201,0.018604085,37.673615,261,131,131,1,"dicot","109","1"
"112","dicot-sim-109-10-20.rsml",167.1546,2.7432,16.493067,2.2223463,1,16,16.999773,0.12518321,9.610389,129,70,1.1639911,0.018481303,34.759808,259,130,130,1,"dicot","109","10"
"113","dicot-sim-109-2-20.rsml",161.65376,2.9464,16.493067,2.2639096,1,16,16.999996,0.12602456,9.684728,130,66,1.1127211,0.01847351,34.913895,261,131,131,1,"dicot","109","2"
"114","dicot-sim-109-3-20.rsml",179.77055,3.2766,16.493067,2.2719762,1,16,16.999954,0.12851399,10.220342,135,84,1.2057081,0.018986788,36.547504,271,136,136,1,"dicot","109","3"
"115","dicot-sim-109-4-20.rsml",174.70517,2.7178,16.493067,2.3039107,1,16,16.999996,0.12555143,9.411175,127,81,1.2417729,0.018840423,38.735214,255,128,128,1,"dicot","109","4"
"116","dicot-sim-109-5-20.rsml",163.8225,3.0649333,16.493067,2.2561064,1,16,16.999937,0.12849325,9.337111,124,75,1.1840531,0.019045072,32.828613,249,125,125,1,"dicot","109","5"
"117","dicot-sim-109-6-20.rsml",180.44548,2.8278666,16.493067,2.290724,1,16,16.999893,0.13305414,9.781769,132,88,1.2382246,0.018804517,35.490494,265,133,133,1,"dicot","109","6"
"118","dicot-sim-109-7-20.rsml",170.00082,3.3528,16.493067,2.273975,1,16,16.999895,0.12283223,9.040724,122,80,1.2541063,0.018646782,36.071327,245,123,123,1,"dicot","109","7"
"119","dicot-sim-109-8-20.rsml",164.38701,3.2258,16.493067,2.321891,1,16,16.99988,0.12421595,9.48536,128,70,1.151462,0.01846447,33.764004,257,129,129,1,"dicot","109","8"
"120","dicot-sim-109-9-20.rsml",172.94519,2.9802666,16.493067,2.2804954,1,16,16.999504,0.12497804,9.411517,127,76,1.2279186,0.018911345,36.24515,255,128,128,1,"dicot","109","9"
