"","image","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","width_depth_ratio","com_y","com_x","convexhull","exploration"
"7812","monocot-sim-352-10-20.rsml.jpg","monocot","352","10",-370.454116727193,65.6049009665417,-65.7769647044948,0.731160203748115,31.811594,0.2725564,0.38865855,0.4949202,90140,0.00898195584646106
"7813","monocot-sim-352-2-20.rsml.jpg","monocot","352","2",-246.87462420381,43.100675033075,-22.6746682129411,0.662802963282353,26.014492,0.30864662,0.37985831,0.5019503,77223,0.0103848042681584
"7814","monocot-sim-352-3-20.rsml.jpg","monocot","352","3",-177.083250248475,25.0276486472651,-1.10152491956806,0.654998767849549,32.014492,0.3338346,0.37254593,0.44151628,71742,0.0124590128516071
"7815","monocot-sim-352-4-20.rsml.jpg","monocot","352","4",-264.387705041462,75.8450115578435,-0.896893356404865,0.674392622423741,31.246376,0.3330827,0.38665748,0.52476317,74147,0.0115786208477754
"7816","monocot-sim-352-5-20.rsml.jpg","monocot","352","5",-292.993673735939,61.1657684343926,-28.8380139314465,0.674418723393116,35.188404,0.30225563,0.3902604,0.45287707,57432,0.0151367164646887
"7817","monocot-sim-352-6-20.rsml.jpg","monocot","352","6",-109.522010892689,105.231318642881,-33.9365380507538,0.69441383164626,30,0.35037595,0.38787103,0.51147807,59625,0.0143615966457023
"7818","monocot-sim-352-7-20.rsml.jpg","monocot","352","7",-217.213574777444,71.4304222597045,-55.3441922600076,0.698727702648721,27,0.3056391,0.37703758,0.5053251,49766,0.0167899133946871
"7819","monocot-sim-352-8-20.rsml.jpg","monocot","352","8",-249.952392990686,-32.9652518296902,-24.0899626999168,0.613986786290366,27.362318,0.29774436,0.37734836,0.519879,69147,0.0127129174078413
"7820","monocot-sim-352-9-20.rsml.jpg","monocot","352","9",-274.855874416409,-10.0201130507391,-5.88278493404316,0.640782844309413,21.296875,0.33601287,0.38710845,0.44434708,136772,0.00514079270610944
"7821","monocot-sim-353-1-18.rsml.jpg","monocot","353","1",49.2167676789185,-6.84016608340277,-63.5120365036329,0.616133516821256,48.672413,0.4244533,0.3637849,0.5176572,50907,0.0159959744239496
"7822","monocot-sim-353-10-18.rsml.jpg","monocot","353","10",-77.8292309328987,39.4145347696784,-8.6644668325261,0.654900960416871,45.12069,0.36282307,0.361695,0.44904485,27817,0.028970567279002
"7823","monocot-sim-353-2-18.rsml.jpg","monocot","353","2",5.35975666288397,-3.51950050126094,-96.0495528326644,0.649448229830805,46.327587,0.388171,0.35668933,0.5892254,55478,0.013989580554454
"7824","monocot-sim-353-3-19.rsml.jpg","monocot","353","3",-106.086757844984,-1.9864571047798,-9.05570255059811,0.639149586702028,49.8,0.3657277,0.37444258,0.5468108,47248,0.0184292636725364
"7825","monocot-sim-353-4-19.rsml.jpg","monocot","353","4",-102.878009727154,-54.2552957610709,-12.9621039985832,0.596757321668257,48.25,0.3629108,0.37632245,0.51578486,54760,0.0151125978816654
"7826","monocot-sim-353-5-19.rsml.jpg","monocot","353","5",0.541716621005819,76.974479891405,-0.338398232049067,0.683374039835727,50.866665,0.36056337,0.37343773,0.43747187,32623,0.0272810777672194
"7827","monocot-sim-353-6-19.rsml.jpg","monocot","353","6",-139.834729640094,-41.3061377256692,-47.9625866813626,0.613191735175398,48.016666,0.37230048,0.37772045,0.52634126,56211,0.0151711960292469
"7828","monocot-sim-353-7-19.rsml.jpg","monocot","353","7",-79.7760983161523,-23.7176315309603,-23.763608115687,0.61082605884527,49.15,0.35023475,0.37772772,0.4678789,17015,0.0513140188069351
"7829","monocot-sim-353-8-18.rsml.jpg","monocot","353","8",3.41107589999383,-54.9633244645204,-72.0577774636727,0.589117293098085,45.172413,0.3667992,0.3632402,0.45248786,28836,0.0276634727424053
"7830","monocot-sim-353-9-18.rsml.jpg","monocot","353","9",15.9288888792539,-22.3180831900142,-28.2325573837421,0.628636481184592,46.431034,0.37524852,0.35918897,0.48853528,26307,0.0313318489375451
"7831","monocot-sim-354-1-20.rsml.jpg","monocot","354","1",376.29152966904,-152.093690723755,285.70646466761,0.562167610164233,9.688889,0.59372485,0.30868587,0.4493919,44788,0.0050414738322765
"7832","monocot-sim-354-10-20.rsml.jpg","monocot","354","10",-99.6275687064085,-20.7732458114716,-391.279468753362,0.623886835310861,7.822222,0.46580854,0.31815186,0.51126534,43309,0.00484083215959731
"7833","monocot-sim-354-2-20.rsml.jpg","monocot","354","2",541.006406643614,-218.699121759155,-42.4772848287055,0.561029006647161,9.133333,0.60740143,0.31083837,0.5476575,36067,0.0062940713117254
"7834","monocot-sim-354-3-20.rsml.jpg","monocot","354","3",399.683882812525,-99.373201123168,-39.0912681628627,0.592629211503547,10.088889,0.6049879,0.30779123,0.6139842,60995,0.00369426772686286
"7835","monocot-sim-354-4-20.rsml.jpg","monocot","354","4",496.300818736135,-165.756856124916,145.273527964223,0.56066561184473,7.266667,0.6452132,0.30803794,0.51451796,41912,0.00522823535025768
"7836","monocot-sim-354-5-20.rsml.jpg","monocot","354","5",339.222805552613,-48.3008375058405,188.112778142938,0.610616453872209,8.644444,0.57843924,0.30449504,0.5778629,17578,0.0125617629992035
"7837","monocot-sim-354-6-20.rsml.jpg","monocot","354","6",456.674585522417,-199.291613134665,212.641684046803,0.544367538903791,8.244445,0.6771337,0.3143769,0.53568447,55754,0.00397259371524913
"7838","monocot-sim-354-7-20.rsml.jpg","monocot","354","7",-18.8620927632243,25.1352362720148,-411.036316222543,0.638409938654197,10.4,0.4183427,0.31644866,0.58732295,37527,0.00572453806592587
"7839","monocot-sim-354-8-20.rsml.jpg","monocot","354","8",339.962906501728,-135.097754662314,-138.841052960319,0.573270041145828,8.222222,0.60901046,0.30891377,0.51436114,57479,0.00378193200995146
"7840","monocot-sim-354-9-20.rsml.jpg","monocot","354","9",225.541141639189,90.4952688861194,-111.609148692641,0.688837932997304,9.644444,0.5108608,0.3066996,0.51594394,35783,0.00636721348126205
"7841","monocot-sim-355-1-20.rsml.jpg","monocot","355","1",-449.380905409907,-134.821271699819,40.004218842361,0.467230451566405,19.944445,0.22735284,0.38443118,0.47397545,78405,0.0105849260888974
"7842","monocot-sim-355-10-20.rsml.jpg","monocot","355","10",-448.688620572138,-79.0512990579978,16.4965401852119,0.570554374700971,22.222221,0.24180472,0.38345438,0.5005091,65531,0.0150964834963605
"7843","monocot-sim-355-2-20.rsml.jpg","monocot","355","2",-519.978778044122,-61.5509856658513,-10.7636898112931,0.544022599318465,22.73611,0.23722242,0.38075662,0.57040906,180796,0.00522261609770128
