"","image","specie","group","id","tot_root_length","tot_prim_length","mean_prim_length","tot_lat_length","mean_lat_length","width","depth","n_laterals","n_primary","mean_lat_density"
"169","dicot-sim-113-8-14.rsml","dicot","113","8",325.31042,16,16.99964,250,3.1784613,6.5955334,16.493067,97,1,6.991625
"170","dicot-sim-113-9-14.rsml","dicot","113","9",311.77625,16,16.999336,241,3.0705929,6.1468,16.493067,96,1,6.9196987
"171","dicot-sim-114-1-20.rsml","dicot","114","1",47.618973,16,16.499838,13,1.1525604,2.1928666,15.993533,27,1,2.5821033
"172","dicot-sim-114-10-20.rsml","dicot","114","10",44.637318,16,16.500002,11,1.082204,2.159,15.993533,26,1,2.1880915
"173","dicot-sim-114-2-20.rsml","dicot","114","2",57.55225,16,16.499998,22,1.3242666,2.4722667,15.993533,31,1,2.2490337
"174","dicot-sim-114-3-20.rsml","dicot","114","3",52.526436,16,16.499157,19,1.2423197,2.1928666,15.993533,29,1,2.3467314
"175","dicot-sim-114-4-20.rsml","dicot","114","4",56.752396,16,16.499918,23,1.3880166,2.3114,15.993533,29,1,2.1039429
"176","dicot-sim-114-5-20.rsml","dicot","114","5",57.443924,16,16.5,18,1.2794975,2.7262666,15.993533,32,1,2.3215828
"177","dicot-sim-114-6-20.rsml","dicot","114","6",54.76707,16,16.49977,20,1.3666896,3.1580665,15.993533,28,1,2.0314083
"178","dicot-sim-114-7-20.rsml","dicot","114","7",58.377308,16,16.499977,25,1.3959109,2.3960667,15.993533,30,1,2.3377073
"179","dicot-sim-114-8-20.rsml","dicot","114","8",58.411846,16,16.49999,21,1.3519953,2.6500666,15.993533,31,1,2.7175825
"180","dicot-sim-114-9-20.rsml","dicot","114","9",49.866413,16,16.49993,15,1.2833267,2.3198667,15.993533,26,1,1.8862926
"181","dicot-sim-115-1-20.rsml","dicot","115","1",65.538734,25,25.999601,16,1.0686255,2.2944667,25.493134,37,1,1.9878933
"182","dicot-sim-115-10-20.rsml","dicot","115","10",59.30225,25,25.999498,15,1.1893839,2.1928666,25.493134,28,1,1.4831638
"183","dicot-sim-115-2-20.rsml","dicot","115","2",63.663147,25,25.999918,18,1.298732,3.4459333,25.493134,29,1,1.6524844
"184","dicot-sim-115-3-20.rsml","dicot","115","3",60.652843,25,25.999975,15,1.1949263,2.9887333,25.493134,29,1,1.7879276
"185","dicot-sim-115-4-20.rsml","dicot","115","4",63.83725,25,25.999977,22,1.3047336,3.2681334,25.493134,29,1,1.6038778
"186","dicot-sim-115-5-20.rsml","dicot","115","5",61.011307,25,25.999903,16,1.250407,2.5992665,25.493134,28,1,1.5716885
"187","dicot-sim-115-6-20.rsml","dicot","115","6",69.83735,25,25.999334,20,1.1848111,2.9633334,25.493134,37,1,2.1083708
"188","dicot-sim-115-7-20.rsml","dicot","115","7",66.49755,25,25.999832,17,1.2272038,2.8871334,25.493134,33,1,1.7986586
"189","dicot-sim-115-8-20.rsml","dicot","115","8",58.592964,25,25.999184,13,1.0864594,2.6331334,25.493134,30,1,1.5670608
"190","dicot-sim-115-9-20.rsml","dicot","115","9",68.85199,25,25.999979,25,1.3391254,3.2766,25.493134,32,1,1.8804065
"191","dicot-sim-116-1-20.rsml","dicot","116","1",12.350033,10,10.499326,0,0.9253531,0.44873333,9.990666,2,1,0.65750456
"192","dicot-sim-116-10-20.rsml","dicot","116","10",13.872336,10,10.499538,1,0.8431993,0.7874,9.990666,4,1,0.8453468
"193","dicot-sim-116-2-20.rsml","dicot","116","2",12.891236,10,10.496785,0,0.7981503,0.37253332,9.990666,3,1,0.73987937
